date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:09:36	189/189	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265f99c89-bd%22	https://www.wes.org/wp-content/themes/wes/bound-by/refresh/svg/angle-vert.svg	D:/WORK/website%20links/wes/wes/www.wes.org/wp-content/themes/wes/bound-by/refresh/svg/angle-vert.svg	(from https://www.wes.org/)
15:09:36	1074/1074	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265b3c9b7-432%22	https://www.wes.org/wp-content/themes/wes/bound-by/refresh/svg/flag-ca.svg	D:/WORK/website%20links/wes/wes/www.wes.org/wp-content/themes/wes/bound-by/refresh/svg/flag-ca.svg	(from https://www.wes.org/)
15:09:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Jul%202024%2010:44:28%20GMT	https://www.wes.org/nzqa	D:/WORK/website%20links/wes/wes/www.wes.org/nzqa	(from https://www.wes.org/)
15:09:37	1970/1970	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265b3c9b7-7b2%22	https://www.wes.org/wp-content/themes/wes/bound-by/refresh/svg/flag-nzqa.svg	D:/WORK/website%20links/wes/wes/www.wes.org/wp-content/themes/wes/bound-by/refresh/svg/flag-nzqa.svg	(from https://www.wes.org/)
15:09:37	140698/140698	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2010:44:28%20GMT	https://www.wes.org/ca/	D:/WORK/website%20links/wes/wes/www.wes.org/ca/index.html	(from https://www.wes.org/)
15:09:37	8059/8059	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265f99c89-1f7b%22	https://www.wes.org/wp-content/themes/wes/bound-by/refresh/svg/logo.svg	D:/WORK/website%20links/wes/wes/www.wes.org/wp-content/themes/wes/bound-by/refresh/svg/logo.svg	(from https://www.wes.org/)
15:09:38	93595/93595	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2010:44:28%20GMT	https://www.wes.org/nzqa/	D:/WORK/website%20links/wes/wes/www.wes.org/nzqa/index.html	(from https://www.wes.org/)
15:09:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Jul%202024%2010:44:29%20GMT	https://www.wes.org/partners-and-programs	D:/WORK/website%20links/wes/wes/www.wes.org/partners-and-programs	(from https://www.wes.org/)
15:09:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Jul%202024%2010:44:29%20GMT	https://www.wes.org/fund	D:/WORK/website%20links/wes/wes/www.wes.org/fund	(from https://www.wes.org/)
15:09:39	250129/250129	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2010:44:29%20GMT	https://www.wes.org/about-wes/	D:/WORK/website%20links/wes/wes/www.wes.org/about-wes/index.html	(from https://www.wes.org/)
15:09:39	101554/101554	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2010:44:30%20GMT	https://www.wes.org/careers-at-wes/	D:/WORK/website%20links/wes/wes/www.wes.org/careers-at-wes/index.html	(from https://www.wes.org/)
15:09:39	133362/133362	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2010:44:30%20GMT	https://www.wes.org/credential-evaluations/	D:/WORK/website%20links/wes/wes/www.wes.org/credential-evaluations/index.html	(from https://www.wes.org/)
15:09:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Jul%202024%2010:44:30%20GMT	https://www.wes.org/publications	D:/WORK/website%20links/wes/wes/www.wes.org/publications	(from https://www.wes.org/)
15:09:40	110769/110769	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2010:44:30%20GMT	https://www.wes.org/evaluations-and-fees/	D:/WORK/website%20links/wes/wes/www.wes.org/evaluations-and-fees/index.html	(from https://www.wes.org/)
15:09:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Jul%202024%2010:44:31%20GMT	https://www.wes.org/important-wes-notices	D:/WORK/website%20links/wes/wes/www.wes.org/important-wes-notices	(from https://www.wes.org/)
15:09:40	94943/94943	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2010:44:31%20GMT	https://www.wes.org/partners/global-talent-bridge/about-the-wes-gateway-program/	D:/WORK/website%20links/wes/wes/www.wes.org/partners/global-talent-bridge/about-the-wes-gateway-program/index.html	(from https://www.wes.org/)
15:09:40	119913/119913	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2010:44:31%20GMT	https://www.wes.org/advisor-blog/	D:/WORK/website%20links/wes/wes/www.wes.org/advisor-blog/index.html	(from https://www.wes.org/)
15:09:41	131937/131937	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2010:44:31%20GMT	https://www.wes.org/partners/resources-for-institutional-professionals/	D:/WORK/website%20links/wes/wes/www.wes.org/partners/resources-for-institutional-professionals/index.html	(from https://www.wes.org/)
15:09:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Jul%202024%2010:44:32%20GMT	https://www.wes.org/partners-and-programs	D:/WORK/website%20links/wes/wes/www.wes.org/partners-and-programs	(from https://www.wes.org/)
15:09:41	74020/74020	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2010:44:32%20GMT	https://www.wes.org/partners/licensing-bodies/	D:/WORK/website%20links/wes/wes/www.wes.org/partners/licensing-bodies/index.html	(from https://www.wes.org/)
15:09:41	72170/72170	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2010:44:32%20GMT	https://www.wes.org/partners/employers/	D:/WORK/website%20links/wes/wes/www.wes.org/partners/employers/index.html	(from https://www.wes.org/)
15:09:41	73201/73201	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2010:44:32%20GMT	https://www.wes.org/partners/tools-for-partners/	D:/WORK/website%20links/wes/wes/www.wes.org/partners/tools-for-partners/index.html	(from https://www.wes.org/)
15:09:42	112480/112480	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2010:44:32%20GMT	https://www.wes.org/partners-and-programs/	D:/WORK/website%20links/wes/wes/www.wes.org/partners-and-programs/index.html	(from https://www.wes.org/)
15:09:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Jul%202024%2010:44:33%20GMT	https://www.wes.org/publications	D:/WORK/website%20links/wes/wes/www.wes.org/publications	(from https://www.wes.org/)
15:09:42	358/358	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265b3c9b7-166%22	https://www.wes.org/wp-content/themes/wes/bound-by/refresh/svg/arrow-mobile-nav.svg	D:/WORK/website%20links/wes/wes/www.wes.org/wp-content/themes/wes/bound-by/refresh/svg/arrow-mobile-nav.svg	(from https://www.wes.org/)
